,Unnamed: 0.1,Unnamed: 0,Celebrity,Twitter_Account,Tweet,NB_Predict,SVM_Predict
0,0,0,Donald Trump,@hodgetwins, notguilty  freetrump,0,1
1,1,1,Donald Trump,@Alyssa_Milano,its a sad day for america ,0,0
2,2,2,Donald Trump,@TheEXECUTlONER_,dinesh dsouza,0,1
3,3,3,Donald Trump,@DineshDSouza,new statement by trump on my film  police state  ,1,1
4,4,4,Donald Trump,@cherrynorrishhi,god is with you  we are with you  we support you  we are praying for you  ,1,1
5,5,5,Donald Trump,@TheEXECUTlONER_,the patriot voice,0,1
6,6,6,Donald Trump,@TPV_John,vernon jones,0,1
7,7,7,Donald Trump,@VernonForGA,god this guy makes me sick,0,0
8,8,8,Donald Trump,@VernonForGA,retweet if you have president trump s back and are voting for him on november  th       ,1,1
9,9,9,Donald Trump,@CalltoActivism,kari lake,0,1
10,10,10,Donald Trump,@KariLake,mr  president  we are with you all the way ,1,1
11,11,11,Donald Trump,@ybarrap,here is a validated summary of the facts about donald trump ,0,0
12,12,12,Donald Trump,@MadelineMarie66,welcome back mr  president        ,1,1
13,13,13,Donald Trump,@NCMuscleCars001,zadok  ,0,1
14,14,14,Donald Trump,@zadokq244514,good sir  brother  for your consideration  ,1,1
15,15,15,Donald Trump,@TPV_John,chris d  jackson,1,1
16,16,16,Donald Trump,@ChrisDJackson,i couldnt decide if i like this guy or not,1,1
17,17,17,Donald Trump,@ChrisDJackson,mickey,0,0
18,18,18,Donald Trump,@Mickey17176,chuzii,0,1
19,19,19,Donald Trump,@itx_Humna,well come back,0,1
20,20,20,Donald Trump,@ANUJ_BANSAL738, donaldtrump for world peace ,1,1
21,21,21,Donald Trump,@BouchellJohn,josh franco,1,1
22,22,22,Donald Trump,@3YearLetterman,jesus is literally behind you sir,1,1
23,23,23,Donald Trump,@MattWallace888,   the elite are not prepared to handle trumps war of revenge against them   ,0,0
24,24,24,Donald Trump,@sbgbobby17,this recipe looks amazing  cant wait to try it out  thank you for sharing this ,1,1
25,25,25,Donald Trump,@hodgetwins,free trump,1,1
26,26,26,Donald Trump,@zadokq244514,this guy is the man i love this guy,1,1
27,27,27,Donald Trump,@zadokq244514,   national revival  maga  americafirst  usa  trump  trump     by zoomer waffen,1,1
28,28,28,Donald Trump,@elonmusk,approximately    million views per hour of this image,0,0
29,29,29,Donald Trump,@DineshDSouza,trump is the primary target of the  policestate,1,1
30,30,30,Donald Trump,@tomiahonen,hey loser ,1,1
31,31,31,Donald Trump,@Thoughts7763,you cant trust people who have a history of flip flopping on issues  unless they sincerely had a change of heart through education and new information    however  i wouldnt trust anyone who was onboard with mandatory covid vaccinations  after the first   months   banning ,1,1
32,32,32,Donald Trump,@itscarterhughes,refollowed president trump  lets make america great again and fire the democrats ,1,1
33,33,33,Donald Trump,@lukasbadboy,thanks for sharing  its appreciated ,1,1
34,34,34,Donald Trump,@The_Trump_Train,who else thinks president trump should come back to twitter ,1,1
35,35,35,Donald Trump,@davidhogg111,thoughts and prayers  ,0,1
36,36,36,Donald Trump,@Lunimor,thanks for sharing your perspective  its appreciated ,1,1
37,37,37,Donald Trump,@JrMoneyGetting,the fact this was the last tweet is hilarious,0,1
38,38,38,Donald Trump,@Andy,take your toys and go to florida  sweetie ,0,0
39,39,39,Donald Trump,@Luiiih,thanks for sharing your perspective  its appreciated ,1,1
40,40,40,Donald Trump,@natibronzeri,absolutely  and thanks for sharing ,1,1
41,41,41,Donald Trump,@greg16676935420,welcome back donald  dm me quick i have something to tell you,1,1
42,42,42,Donald Trump,@ManMadeMoon,can i have your ticket ,1,1
43,43,43,Donald Trump,@real_defender,welcome back mr  president ,1,1
44,44,44,Donald Trump,@themanumenon, sundog   ,0,1
45,45,45,Donald Trump,@marianafernan91,youre making a compelling case  thank you ,1,1
46,46,46,Donald Trump,@maisaber,thanks for sharing  its appreciated ,1,1
47,47,47,Donald Trump,@dom_lucre,make  em hurt mr  president  give them the tweet ,1,1
